frame,joint,x,y,bbox
20,reyecoco,250.89,324.53,"(101.5,326.7)-(340.8,503.1)"
38,reyecoco,146.23,331.78,"(127.5,333.2)-(349.3,503.4)"
39,reyecoco,153.09,330.03,"(133.8,332.7)-(323.8,504.8)"
40,reyecoco,163.13,327.15,"(143.6,327.7)-(295.4,505.9)"
42,reyecoco,185.75,324.25,"(161.3,324.3)-(240.3,505.9)"
44,reyecoco,215.73,320.76,"(129.4,321.2)-(251.3,506.7)"
55,rhan_smpl,293.48,405.8,"(94.2,369.0)-(291.1,514.1)"
55,reyecoco,239.9,368.59,"(94.2,369.0)-(291.1,514.1)"
56,rwri_smpl,254.86,445.05,"(96.2,363.8)-(248.6,518.7)"
56,rhan_smpl,259.18,451.32,"(96.2,363.8)-(248.6,518.7)"
58,lhan_smpl,102.79,413.82,"(105.6,374.8)-(256.3,508.4)"
66,ltoe_smpl,325.23,390.49,"(149.5,358.9)-(310.7,510.8)"
74,lank_smpl,100.33,387.49,"(103.5,349.4)-(341.5,507.9)"
74,ltoe_smpl,91.9,397.01,"(103.5,349.4)-(341.5,507.9)"
75,ltoe_smpl,96.68,409.17,"(103.5,350.7)-(350.5,507.5)"
76,ltoe_smpl,113.0,422.46,"(113.9,352.6)-(352.9,506.5)"
79,reyecoco,287.1,357.53,"(199.1,358.2)-(336.1,508.1)"
82,lelb_smpl,189.49,422.82,"(192.4,367.0)-(352.3,510.9)"
82,lwri_smpl,182.93,457.24,"(192.4,367.0)-(352.3,510.9)"
82,lhan_smpl,180.68,466.48,"(192.4,367.0)-(352.3,510.9)"
82,learcoco,190.46,399.53,"(192.4,367.0)-(352.3,510.9)"
82,leyecoco,189.75,391.2,"(192.4,367.0)-(352.3,510.9)"
82,reyecoco,183.72,388.53,"(192.4,367.0)-(352.3,510.9)"
83,lwri_smpl,151.76,415.89,"(153.6,365.0)-(356.6,509.0)"
83,lhan_smpl,144.47,418.42,"(153.6,365.0)-(356.6,509.0)"
86,lhan_smpl,121.56,415.53,"(123.5,374.3)-(365.9,514.2)"
88,reyecoco,185.62,380.14,"(122.8,380.5)-(370.9,516.7)"
89,rhan_smpl,142.27,428.7,"(146.5,379.7)-(366.7,516.1)"
97,lank_smpl,127.83,411.14,"(128.0,356.8)-(320.2,506.4)"
97,ltoe_smpl,121.42,415.35,"(128.0,356.8)-(320.2,506.4)"
98,lank_smpl,106.05,388.72,"(115.5,355.9)-(308.9,505.8)"
98,ltoe_smpl,97.32,392.96,"(115.5,355.9)-(308.9,505.8)"
99,ltoe_smpl,87.3,371.76,"(101.6,355.1)-(299.4,512.9)"
100,lank_smpl,126.85,352.3,"(118.5,353.9)-(291.9,509.9)"
100,ltoe_smpl,108.31,356.98,"(118.5,353.9)-(291.9,509.9)"
104,reyecoco,158.48,369.8,"(158.6,355.9)-(350.3,511.3)"
112,reyecoco,192.01,354.46,"(140.5,356.9)-(246.1,514.0)"
113,reyecoco,213.73,354.89,"(117.6,357.5)-(250.4,512.9)"
119,reyecoco,260.34,371.08,"(70.0,372.7)-(341.3,510.6)"
120,reyecoco,245.84,370.85,"(72.9,373.1)-(312.9,509.8)"
121,rhan_smpl,272.36,429.71,"(86.0,365.1)-(270.5,512.3)"
124,lhan_smpl,103.33,430.41,"(107.3,369.7)-(266.0,506.2)"
125,rhan_smpl,102.44,434.94,"(104.2,372.5)-(268.0,503.2)"
125,reyecoco,137.89,371.87,"(104.2,372.5)-(268.0,503.2)"
129,ltoe_smpl,321.5,408.82,"(147.5,364.7)-(312.2,502.5)"
137,lank_smpl,92.99,387.99,"(94.1,348.4)-(335.9,504.7)"
137,ltoe_smpl,84.14,398.17,"(94.1,348.4)-(335.9,504.7)"
138,ltoe_smpl,95.64,404.09,"(99.8,349.6)-(326.1,502.0)"
139,lank_smpl,153.68,396.78,"(155.9,347.2)-(310.5,498.9)"
139,ltoe_smpl,139.87,407.52,"(155.9,347.2)-(310.5,498.9)"
141,rtoe_smpl,223.11,514.07,"(206.6,343.3)-(279.2,500.5)"
142,reyecoco,205.59,355.64,"(191.7,355.8)-(348.0,502.7)"
144,lhan_smpl,161.26,417.47,"(162.7,356.5)-(384.9,500.1)"
146,lhan_smpl,103.62,418.53,"(110.2,355.6)-(357.2,501.3)"
148,lhan_smpl,131.86,413.06,"(133.2,361.0)-(313.8,504.2)"
